ID,artist,title,picture data,jpg url,image_path,born-died,period,school,url,base,nationality,image_exists,resolution,color_type,file_size
16725,GIOTTO di Bondone,no. 6 scenes from the life of joachim: 6. meeting at the golden gate,"1304-06, fresco, 200 x 185 cm, cappella scrovegni (arena chapel), padua",https://www.wga.hu/art/g/giotto/padova/1joachim/joachi6.jpg,complete/artwork\16725.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1309*1200,true color,244 kb
16726,GIOTTO di Bondone,no. 6 scenes from the life of joachim: 6. meeting at the golden gate (detail),"1304-06, fresco, width of detail 76,5 cm, cappella scrovegni (arena chapel), padua",https://www.wga.hu/art/g/giotto/padova/1joachim/joachi61.jpg,complete/artwork\16726.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,765*934,true color,161 kb
16727,GIOTTO di Bondone,no. 6 scenes from the life of joachim: 6. meeting at the golden gate (detail),"1304-06, fresco, cappella scrovegni (arena chapel), padua",https://www.wga.hu/art/g/giotto/padova/1joachim/joachi62.jpg,complete/artwork\16727.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1030*1199,true color,241 kb
16728,GIOTTO di Bondone,legend of st francis: 15. sermon to the birds,"1297-99, fresco, 270 x 200 cm, upper church, san francesco, assisi",https://www.wga.hu/art/g/giotto/assisi/upper/legend/franc15.jpg,complete/artwork\16728.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,850*1105,true color,174 kb
16729,GIOTTO di Bondone,no. 7 scenes from the life of the virgin: 1. the birth of the virgin,"1304-06, fresco, 200 x 185 cm, cappella scrovegni (arena chapel), padua",https://www.wga.hu/art/g/giotto/padova/2virgin/mary01.jpg,complete/artwork\16729.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1250*1200,true color,243 kb
16730,GIOTTO di Bondone,no. 7 scenes from the life of the virgin: 1. the birth of the virgin (detail),"1304-06, fresco, cappella scrovegni (arena chapel), padua",https://www.wga.hu/art/g/giotto/padova/2virgin/mary012.jpg,complete/artwork\16730.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1119*1296,true color,227 kb
16731,GIOTTO di Bondone,no. 7 scenes from the life of the virgin: 1. the birth of the virgin (detail),"1304-06, fresco, cappella scrovegni (arena chapel), padua",https://www.wga.hu/art/g/giotto/padova/2virgin/mary013.jpg,complete/artwork\16731.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1189*1391,true color,238 kb
16732,GIOTTO di Bondone,no. 8 scenes from the life of the virgin: 2. presentation of the virgin in the temple,"1304-06, fresco, 200 x 185 cm, cappella scrovegni (arena chapel), padua",https://www.wga.hu/art/g/giotto/padova/2virgin/mary02.jpg,complete/artwork\16732.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1264*1200,true color,217 kb
16733,GIOTTO di Bondone,no. 8 scenes from the life of the virgin: 2. presentation of the virgin in the temple (detail),"1304-06, fresco, cappella scrovegni (arena chapel), padua",https://www.wga.hu/art/g/giotto/padova/2virgin/mary021.jpg,complete/artwork\16733.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1189*1384,true color,213 kb
16734,GIOTTO di Bondone,no. 8 scenes from the life of the virgin: 2. presentation of the virgin in the temple,"1304-06, fresco, 200 x 185 cm, cappella scrovegni (arena chapel), padua",https://www.wga.hu/art/g/giotto/padova/2virgin/mary022.jpg,complete/artwork\16734.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,939*1100,true color,132 kb
16735,GIOTTO di Bondone,no. 9 scenes from the life of the virgin: 3. the bringing of the rods to the temple,"1304-06, fresco, 200 x 185 cm, cappella scrovegni (arena chapel), padua",https://www.wga.hu/art/g/giotto/padova/2virgin/mary03.jpg,complete/artwork\16735.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1281*1200,true color,230 kb
16736,GIOTTO di Bondone,no. 7 scenes from the life of the virgin: 1. the birth of the virgin (detail),"1304-06, fresco, cappella scrovegni (arena chapel), padua",https://www.wga.hu/art/g/giotto/padova/2virgin/mary011.jpg,complete/artwork\16736.jpg,(1267-1337),Medieval,painter,https://www.wga.hu/html/g/giotto/index.html,Florence,Italian,TRUE,1283*1495,true color,227 kb
